category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,url,source,scraped_date
"Home, Furniture & Appliances","52"" 5 Blades Luxury Gold 3 Color Chandelier Fan Light",1500.0,,Greater Accra,Dansoman,"Greater Accra, Dansoman","Verified ID, 5+ years on Jiji",Crystal ceiling fan with lights】: our ceiling fan is designed with exquisite crystal lampshade on...,False,https://jiji.com.gh/dansoman/lighting/52-5-blades-luxury-gold-3-color-chandelier-fan-light-wdEyB9Vh4IueD4HqQSMTmkCE.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Brand New Rousong Refrigerator,1700.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,Rousong bedside refrigerator 52L,False,https://jiji.com.gh/accra-metropolitan/kitchen-appliances/brand-new-rousong-refrigerator-8ZurWk7uynKPfFqVSEf6NIM0.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Stainless Steel Pearl Auto Ignition 6 Gas Burner Stove Oven And Grill,3499.0,Brand New,Greater Accra,Kotobabi,"Greater Accra, Kotobabi","Verified ID, 5+ years on Jiji",The best and Durable PEARL 90×60 6 Gas burner Automatic Ignition Gas Stove comes with Oven and grill...,False,https://jiji.com.gh/kotobabi/kitchen-appliances/stainless-steel-pearl-auto-ignition-6-gas-burner-stove-oven-and-grill-8MAfjRHhOKJGtdqD7HWqOmQG.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Stove With Oven and Grill Oven 50*50 Chigo Gas Stove,2200.0,Brand New,Greater Accra,Accra New Town,"Greater Accra, Accra New Town",3+ years on Jiji,Quality and affordable One year warranty,False,https://jiji.com.gh/accra-new-town/kitchen-appliances/stove-with-oven-and-grill-oven-50-50-chigo-gas-stove-s7Llzsf5FzDkVZGc6w1b1nQy.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",3w Cob Led Spotlight,28.0,,Greater Accra,Spintex,"Greater Accra, Spintex","Verified ID, 3+ years on Jiji","3W COB LED Spotlight
Bright, energy-saving spotlight with focused illumination. Long-lasting COB...",False,https://jiji.com.gh/spintex/lighting/3w-cob-led-spotlight-rB2nISH7akbXSNzlpvQVmbML.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Double Gas Cylinder Cage,1700.0,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",3+ years on Jiji,Keep your gas cylinder safe... this cage is made of galvanised materials and its anti-rust...,False,https://jiji.com.gh/lapaz/home-appliances/double-gas-cylinder-cage-k93oSJJYbcxHcemV0UqRETyz.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Binatone Industrial Wall Fan 26 Inches,1250.0,Brand New,Greater Accra,Labone,"Greater Accra, Labone",Verified ID,Binatone Industrial Wall Fan. 26 inches.,False,https://jiji.com.gh/labone/home-appliances/binatone-industrial-wall-fan-26-inches-i7j0R5AODKaRVEDybafwgxo0.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",New Golden Fan With Light,1250.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,"Golden Body
Fan With Light 
Remote Control 
Chok Control 
Retractable Blade 
Warm and white color...",False,https://jiji.com.gh/accra-metropolitan/lighting/new-golden-fan-with-light-tXT1DuXMqc3CkInqXoqd1Vyp.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Motion Sensor Light 100cm,200.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Light up your space with style and functionality using the Motion LED Bar. This ultra-slim,...",False,https://jiji.com.gh/accra-metropolitan/lighting/motion-sensor-light-100cm-feXQSGOPrKXYvpJmNcBSQOoI.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Sigma 294l Frost Free Chest Freezer SCF-300i,3630.0,Brand New,Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area","Verified ID, 5+ years on Jiji",Frost free- inverter -embossed aluminium-outside condenser-side basket- grey,False,https://jiji.com.gh/airport-residential-area/kitchen-appliances/sigma-294l-frost-free-chest-freezer-scf-300i-8bokHnKJjOoXtDBw3C5aT2V9.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances","Mutlusan 4"" Bathroom,Toilet,Extractor Ventilation Fan 4inche",500.0,Brand New,Greater Accra,Ashaley Botwe,"Greater Accra, Ashaley Botwe","Verified ID, 5+ years on Jiji","Brand new extractor fans 
For bathrooms, toilet, kitchen, wall and ceiling option 
Very silent and...",False,https://jiji.com.gh/ashaley-botwe/home-appliances/mutlusan-4-bathroom-toilet-extractor-ventilation-fan-4inche-8TcVcL4a9ExLtQESrAuADLjM.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Acrylic Led Remote Control Painting,480.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Modern and elegant wall acrylic led light,False,https://jiji.com.gh/accra-metropolitan/lighting/acrylic-led-remote-control-painting-czQu9b6xnQcPn2xTuEuofEOT.html,Jiji Ghana (jiji.com.gh),2026-04-20
