Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
Electronics,Hisense 5.1ch Soundbar From America Bluetooth Usb Watts,2300.0,"GH₵ 2,300",Brand New,Greater Accra,Dansoman,"Greater Accra, Dansoman","5.1 Surround Sound - 3 speakers built into the soundbar. Left and right front channel, center...",https://jiji.com.gh/dansoman/audio-and-music-equipment/hisense-5-1ch-soundbar-from-america-bluetooth-usb-watts-yQQt9zCFISnHTSQZW5tzaYbE.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Heatz Keyboard Zk30 RGB Wireless Gaming,370.0,GH₵ 370,Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","Discover ultimate flexibility with the Heatz ZK30 versatile keyboard.
Choose between wireless...",https://jiji.com.gh/kokomlemle/computer-accessories/heatz-keyboard-zk30-rgb-wireless-gaming-fxcKElWORQeQUZBJ4GybJEHr.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Playstation 4 Standard,2000.0,"GH₵ 2,000",Used,Greater Accra,,Greater Accra,PlayStation 4 Standard. Its about 15 pieces. Comes with no Games... . .Its tested well and perfecty...,https://jiji.com.gh/greater-accra/video-games-and-consoles/playstation-4-standard-qhw0C2q7tOjnXOCtydnSdNJJ.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Vga to Av Hd Video Converter,80.0,GH₵ 80,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz","Support resolution: 640x480 at 60 fps; 800x600 60 fps, 75 fps; 1024x768 60 fps, 75 fps
1280x720 at...",https://jiji.com.gh/lapaz/computer-accessories/vga-to-av-hd-video-converter-8up2asgJbwbV7VcOSPGazArl.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,"Canon Eos 600d Ultralens Ready Power, Precision, Perfection",6500.0,"GH₵ 6,500",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",UltraLens Ready 600D is compatible with a wide range of Canon lenses for endless creativity.,https://jiji.com.gh/adabraka/cameras-video-cameras-and-accessories/canon-eos-600d-ultralens-ready-power-precision-perfection-cJE37WeuFeU7hncBD1eyMHZ9.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,New Laptop Asus Zenbook Duo 14 32GB Intel Core Ultra 9 SSD 2T,30000.0,"GH₵ 30,000","Brand New, Intel Core Ultra 9",Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","● Asus Zeenbook Duo 14"" 2025
● Intel Core Ultra 9 285H 16-Core
● 32GB LPDDR5x
● 2TB PCIe 4.0 SSD
●...",https://jiji.com.gh/kokomlemle/computers-and-laptops/new-laptop-asus-zenbook-duo-14-32gb-intel-core-ultra-9-ssd-2t-hlDY6SeCTOdilfcu8MNDOKIL.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Premium JBL 2 Pieces Wireless Microphone(Black),1999.0,"GH₵ 1,999",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",Make your backyard party or event something to remember with this Wireless Microphone System from...,https://jiji.com.gh/adabraka/audio-and-music-equipment/premium-jbl-2-pieces-wireless-microphone-black-iU2sN81rII29U33J8beGvSm0.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Hk-Bl2306 Upspirit Electric Blower 1000w,170.0,GH₵ 170,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Hk-bl2306 upspirit electric blower 1000w,https://jiji.com.gh/accra-metropolitan/computer-accessories/hk-bl2306-upspirit-electric-blower-1000w-9Z0N3YZUv55qKbrqsxB2zOQ3.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,77-Inch Smart Oled Tv From Lg's 2020 Gallery (Gx) Series,64860.0,"GH₵ 64,860","77inches, 4320p (8K)",Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area","The LG OLED77GXPVA is a 77-inch 4K Smart OLED TV from LG's 2020 Gallery (GX) Series, specifically...",https://jiji.com.gh/airport-residential-area/tv-dvd-equipment/77-inch-smart-oled-tv-from-lgs-2020-gallery-gx-series-cYnBE1TMIkCavXOS6wIdMewR.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,External Laptop Batteries (170 to 250cedis),200.0,GH₵ 200,Brand New,Greater Accra,Madina,"Greater Accra, Madina","Explore our extensive collection of laptop batteries, designed for a wide range of brands and...",https://jiji.com.gh/madina/computer-accessories/external-laptop-batteries-170-to-250cedis-hg0qitRlNKV2mdopmMIbi55P.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Ps4 Offline Games Installation,100.0,GH₵ 100,"Other, Brand New",Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Bring your ps4 console this side for offline games installation at very affordable price. 
Custom...",https://jiji.com.gh/kumasi-metropolitan/videogames/ps4-offline-games-installation-BRTWc92zNxgvKI9EfJngXymT.html,Jiji Ghana (jiji.com.gh),2026-04-27
