Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Property / Real Estate,2plot of Land for Sale at McCarthy Hills,350000.0,"GH₵ 350,000",,Greater Accra,McCarthy Hill,"Greater Accra, McCarthy Hill",,This 2plot of land is half walled in a very good for residential purpose in very good and serene...,https://jiji.com.gh/mccarthy-hill/land-and-plots-for-sale/2plot-of-land-for-sale-at-mccarthy-hills-2N7jYRUuCIHjIuaehcNtVZ8A.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Get Land in a Welcoming and Gated Community for Your Project,12750.0,"GH₵ 12,750",,Central Region,Awutu Senya East Municipal,"Central Region, Awutu Senya East Municipal",Verified ID,Systematically arranged plots in a gated community at Panfokrom on the Accra-winneba highway just...,https://jiji.com.gh/awutu-senya/land-and-plots-for-sale/get-land-in-a-welcoming-and-gated-community-for-your-project-ucb8OmU74JFuW49fSv0BLt9F.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Titled and Fenced Lands for Sale at AMASAMAN Ayikai Doblo,110000.0,"GH₵ 110,000",,Greater Accra,Ga West Municipal,"Greater Accra, Ga West Municipal",5+ years on Jiji,"The lands are litigation free. 
Contact for more details. 
Car swap available.",https://jiji.com.gh/amasaman/land-and-plots-for-sale/titled-and-fenced-lands-for-sale-at-amasaman-ayikai-doblo-r38AZEAxMtTOLApHW4rdE1Qx.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Land Opposite the Government Affordable Housing for Sale,50000.0,"GH₵ 50,000",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",The Nest Cottage is located just opposite the Government Affordable Housing which is on the...,https://jiji.com.gh/accra-metropolitan/land-and-plots-for-sale/land-opposite-the-government-affordable-housing-for-sale-cTE98yGulskIpV13yFIVejC2.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Roadside Land for Sale at Accra,19535120.0,"GH₵ 19,535,120",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,2Plots of Commercial main circle roadside land walled for sale Accra circle.Ideal for commercial...,https://jiji.com.gh/accra-metropolitan/land-and-plots-for-sale/roadside-land-for-sale-at-accra-uXuoO6weZMcTtqnGtv9jssvQ.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Uncompleted Building for Sale,155000.0,"GH₵ 155,000",,Greater Accra,Kasoa,"Greater Accra, Kasoa",3+ years on Jiji,3 bedroom uncompleted storey building (2modern single room self contain and 1 chamber and hall self...,https://jiji.com.gh/akweley/new-builds/uncompleted-building-for-sale-mAfmWH2Qs0rHlTZB2wIzhJOV.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Buy Genuine and Litigation Free Lands From Estate Masters Ltd.,25000.0,"GH₵ 25,000",,Greater Accra,Ningo-Prampram,"Greater Accra, Ningo-Prampram","Verified ID, 3+ years on Jiji","Our lands are titled and free from litigation and land guards. 
Our lands are well situated in...",https://jiji.com.gh/old-ningo/land-and-plots-for-sale/buy-genuine-and-litigation-free-lands-from-estate-masters-ltd-8BarK36V6TcXYTFwblern21T.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Prime Half Plot With Strong Road Access at Tsopoli Skyport City,20000.0,"GH₵ 20,000",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,"Genuine half plots at Tsopoli are now available. Each plot is registered, demarcated, and serviced...",https://jiji.com.gh/accra-metropolitan/land-and-plots-for-sale/prime-half-plot-with-strong-road-access-at-tsopoli-skyport-city-BzMRrJdWMAU2Vi6ZjPldBuSN.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,1 or 2 Plots of Land for Sale at Tseaddo,450000.0,"GH₵ 450,000",7000sqm,Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area","Verified ID, 5+ years on Jiji","1 plot or 2plots of land for sale in tseaddo
it is in a cool and conducive environment
each plot...",https://jiji.com.gh/airport-residential-area/land-and-plots-for-sale/1-or-2-plots-of-land-for-sale-at-tseaddo-uUQTy5lI7WWZO6wSdbgQk8oE.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,"Plot of Land for Sale at Haatso Rabbit for 900,000 Is",900000.0,"GH₵ 900,000",100sqm,Greater Accra,Ga East Municipal,"Greater Accra, Ga East Municipal","Verified ID, 5+ years on Jiji",A registered nice plot of land with four bedroom house on it for sale at haatso rabbit is in good...,https://jiji.com.gh/ga-east-municipal/land-and-plots-for-sale/plot-of-land-for-sale-at-haatso-rabbit-for-900-000-is-8yhrhMrYj40cNx2b6kPij6Iv.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Furnished 4 Bedrooms for Rent at Sonitra,15000.0,"GH₵ 15,000","4 rooms, 5 bedrooms",Greater Accra,Ablekuma,"Greater Accra, Ablekuma","Verified ID, 5+ years on Jiji","For Rent
Ablekuma Ga Odumase
4 bedrooms
1 sitting rooms
Fully fitted kitchen
A swimming pool
A...",https://jiji.com.gh/ablekuma/temporary-and-vacation-rentals/furnished-4-bedrooms-for-rent-at-sonitra-i7fpPbuXUo0IgrqrkkKHniHY.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Prime Land With Ongoing Structure For Sale At Apire – Darko,140000.0,"GH₵ 140,000",,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",Verified ID,Secure this valuable property located in the fast-developing area of Apire – Darko. Sitting on a...,https://jiji.com.gh/kumasi-metropolitan/land-and-plots-for-sale/prime-land-with-ongoing-structure-for-sale-at-apire-darko-AWKE1wT3yTvrSvYTwAjTjzXw.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Land for Sale,150000.0,"GH₵ 150,000",,Greater Accra,Dansoman,"Greater Accra, Dansoman",3+ years on Jiji,"2 plot land for sales at Dansoman-Roundabout Down.
Price is 300,000gh for 2 plots 
150,000gh for 1...",https://jiji.com.gh/dansoman/land-and-plots-for-sale/land-for-sale-lfvXsnrtI0dSDn0aRPTji3ti.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Furnished 3bdrm Apartment in Kokomlemle for Rent,18000.0,"GH₵ 18,000","5 rooms, 3 bedrooms",Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle",5+ years on Jiji,"3 Bedrooms en-suite Furnished Apartment located at the heart of Accra Kokomlemle Estate. 2,000 cedis...",https://jiji.com.gh/kokomlemle/temporary-and-vacation-rentals/furnished-3bdrm-apartment-in-kokomlemle-for-rent-zr4ky6oCcBFJvOrG7OZg8aXp.html,Jiji Ghana (jiji.com.gh),2026-05-11
