Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
Commercial Equipment & Tools,360 Degree Electric Rotating Turntable Dish Display Stand,170.0,GH₵ 170,Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","The turn table is an all-purpose display, promotion and glorify stand, thanks to the double...",https://jiji.com.gh/kokomlemle/restaurant-and-catering-equipment/360-degree-electric-rotating-turntable-dish-display-stand-BK3Rps1J7h1bGe3RjivI2SwB.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Eight Section 8w+8w Quality Strobe Lights at Wholesale Prices,920.0,GH₵ 920,,Greater Accra,Madina,"Greater Accra, Madina",Eight-Section Strobe Light Led Segmented Rgb Full-Color Color-Changing Dyeing Light Horse Racing...,https://jiji.com.gh/madina/stage-lighting-and-effects/eight-section-8w-8w-quality-strobe-lights-at-wholesale-prices-n1NFbjzM87xdTj4n1S7loXx8.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,"Digital Kiosk: Stage, Display Stand, Pos, Tent, Coffee, Snacks,",2000.0,"GH₵ 2,000",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Customized pos (point of sale) events / exhibition stage or kiosk.with digital features. mobile of...,https://jiji.com.gh/accra-metropolitan/stage-lighting-and-effects/digital-kiosk-stage-display-stand-pos-tent-coffee-snacks-8ARlrjFYuuqXQUpqtbRGAE9K.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,High Quality Sleek Nas360fl 288l Display Fridge Single Door,4899.0,"GH₵ 4,899",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka","Fast cooling
Energy Saving
See-Through inside LED lamp
Lockable double glazed doors with...",https://jiji.com.gh/adabraka/store-equipments/high-quality-sleek-nas360fl-288l-display-fridge-single-door-vX8hkJDzmQ1yu0CA2pFe1aQn.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Equator Hair Dryer Standing,1300.0,"GH₵ 1,300",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Professional stand-up hair drier
power: 980w- 1200w
extended timer upto 60 minutes
infinity...",https://jiji.com.gh/accra-metropolitan/salon-equipment/equator-hair-dryer-standing-yB3LcPkWSm3DpaRwjCgroHyx.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Salon and Barbering Mirrors,1650.0,"GH₵ 1,650",,Greater Accra,Achimota,"Greater Accra, Achimota","I have brand new imported mirrors at wholesale prices
i sell all salon equipments 
barbering...",https://jiji.com.gh/achimota/salon-equipment/salon-and-barbering-mirrors-4aGeyM7Iq1txz2K7mmz7AkJJ.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Floor Marking Tape,250.0,GH₵ 250,,Greater Accra,Spintex,"Greater Accra, Spintex","Special Feature Anti Slip
Highly durable, easy to apply, easy to remove
Made of tough, resilient...",https://jiji.com.gh/spintex/safety-equipment/floor-marking-tape-CyDIOAHikKzu0NpKEruSQHwn.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Hiv Test Kits (Hiv Test Cassette ),250.0,GH₵ 250,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",HIV test cassettes (with buffer reagents) are available at McSarpong Medical Equipment & Supplies. A...,https://jiji.com.gh/accra-metropolitan/medical-equipment/hiv-test-kits-hiv-test-cassette-l9nHlX4W8KVqOQVBl05B9Aoz.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Salon Hair Sofa Sink Chair,2950.0,"GH₵ 2,950",Bulk prices,Greater Accra,Madina,"Greater Accra, Madina",Salon Sofa Hair sink chair,https://jiji.com.gh/madina/salon-equipment/salon-hair-sofa-sink-chair-mN89Llu0trVP1GBoJzkDy08n.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Mikachi Hair Dryer Standing,400.0,GH₵ 400,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Low noise
stable wind force, fast hair styling
adjustable temperature
with a 60 minutes...",https://jiji.com.gh/accra-metropolitan/salon-equipment/mikachi-hair-dryer-standing-6vDPKPlzEeWYlb7VclpASL3Y.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Petro Fufu Pounding Machine,2000.0,"GH₵ 2,000",Brand New,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Commercial Fufu Pounding Machine.
Highly recommended for chop bars, restaurants, hotels and schools...",https://jiji.com.gh/kumasi-metropolitan/restaurant-and-catering-equipment/petro-fufu-pounding-machine-aIMG6CpXjiSnaeQaJMy7BMHk.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Saloon Chair Recliner Hydraulic Adjustable Luxury,2985.0,"GH₵ 2,985",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Recliner 
Adjustable 
Hydraulic 
Quality and Affordable",https://jiji.com.gh/accra-metropolitan/salon-equipment/saloon-chair-recliner-hydraulic-adjustable-luxury-10Eh4Q7gaYHnKmiGChwwJHfZ.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Medical Oxygen Concentrator 10lits,12500.0,"GH₵ 12,500",,Greater Accra,Mamprobi,"Greater Accra, Mamprobi","A medical oxygen concentrator is an electrically powered device that filters ambient air, removing...",https://jiji.com.gh/mamprobi/medical-equipment/medical-oxygen-concentrator-10lits-BoBKBKjbsDnEhs8ZKlLsY6z4.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Portable Nebulizer Inhaler for Adults and Kids | Asthma Cough Relief,125.0,GH₵ 125,,Greater Accra,,Greater Accra,Breathe better wherever you are with this high-quality portable nebulizer — your perfect companion...,https://jiji.com.gh/greater-accra/medical-equipment/portable-nebulizer-inhaler-for-adults-and-kids-asthma-cough-relief-AYOLqCEh3HqI5SxAo65oVQai.html,Jiji Ghana (jiji.com.gh),2026-04-27
