Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
"Home, Furniture & Appliances",Automatic Multi Function Swallow Maker/Fufu Pounding Machine -1000w-6l,800.0,GH₵ 800,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",,"Make smooth, lump-free fufu and other African swallows effortlessly with the Hoffmans 6L Fufu...",https://jiji.com.gh/lapaz/kitchen-appliances/automatic-multi-function-swallow-maker-fufu-pounding-machine-1000w-6l-8rnBMKtUGEwvRKnR6BBkxYlC.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",High Pressure Car Wash Machine,1650.0,"GH₵ 1,650",Brand New,Greater Accra,Teshie,"Greater Accra, Teshie","Verified ID, 3+ years on Jiji",High quality car pressure wash machine,https://jiji.com.gh/teshie/home-appliances/high-pressure-car-wash-machine-cS3NeNXG7BrHz5pan3RXzplr.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Rust Free SAMSUNG-9KG-TWIN-TOP-SEMI-AUTOWASHER-WASHINGMACHIN,3999.0,"GH₵ 3,999",Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Features an Air Turbo Spin-drying system that leaves the laundry fresh and well dried by powerful...,https://jiji.com.gh/circle/home-appliances/rust-free-samsung-9kg-twin-top-semi-autowasher-washingmachin-slUGkGeEdk9d2uwGTxW3VKMn.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Silver Crest Double Cup 4500watt Blender at Wholesale Prices,319.0,GH₵ 319,Brand New,Greater Accra,Tesano,"Greater Accra, Tesano","Verified ID, 5+ years on Jiji",Silver crest 4500watts double cup blender at wholesale prices,https://jiji.com.gh/tesano/kitchen-appliances/silver-crest-double-cup-4500watt-blender-at-wholesale-prices-xnFXrsZB6euerEDy0kiJS3h3.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Bottle Palm for Sale Ghc250,250.0,GH₵ 250,,Greater Accra,Weija,"Greater Accra, Weija","Verified ID, 3+ years on Jiji",Bottle palm available for sale,https://jiji.com.gh/weija/garden/bottle-palm-for-sale-ghc250-i06iWPnkLUAsSOKTSzNsb7Hr.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Roch Washing Machine /Washing Machine 6kg,2000.0,"GH₵ 2,000",Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Quality and affordable one year warranty,https://jiji.com.gh/accra-metropolitan/home-appliances/roch-washing-machine-washing-machine-6kg-i0BbEypRg1URbsRRikx6dvoS.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Pearl Air Conditioner Air Conditioner Affordable Ac,2799.0,"GH₵ 2,799","Brand New, No",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Quality and affordable one year warranty,https://jiji.com.gh/accra-metropolitan/home-appliances/pearl-air-conditioner-air-conditioner-affordable-ac-stOObqI83PF4Pm8vWHxwcJcT.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Buchymix High Power Blenders,5200.0,"GH₵ 5,200",Brand New,Greater Accra,Mataheko,"Greater Accra, Mataheko","Verified ID, 5+ years on Jiji",Bushymix power blenders in different models and prices,https://jiji.com.gh/mataheko/kitchen-appliances/buchymix-high-power-blenders-A7GKwUFGOjNsczjajfiCB5Gp.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Midea-20ltr-Microwave-Solo-Mm7p012mz-B,849.0,GH₵ 849,Brand New,Greater Accra,Weija,"Greater Accra, Weija",Verified ID,"Black
silver handle
5 levels
8 auto menu
child safety lock
700 watt",https://jiji.com.gh/weija/kitchen-appliances/midea-20ltr-microwave-solo-mm7p012mz-b-dzdkBSSnIfbA3xQQmWhBaB3O.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Innova Twin Washing Machine 14kg,3250.0,"GH₵ 3,250",Brand New,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Verified ID, 3+ years on Jiji",Super quality washing machine and energy saving,https://jiji.com.gh/kumasi-metropolitan/home-appliances/innova-twin-washing-machine-14kg-2Abm0bXW1FjS0Dg7TjxS3V9Y.html,Jiji Ghana (jiji.com.gh),2026-04-20
