column_name,display_name,description,data_type,unit,example_value,null_count,null_pct
quarter_on_quarter_uvi_change_export_vegetable_products,Quarter On Quarter Uvi Change Export Vegetable Products,,float64,,,18,100.0%
quarter_on_quarter_uvi_change_export_other_products,Quarter On Quarter Uvi Change Export Other Products,,float64,,-13.3,1,5.6%
quarter_on_quarter_uvi_change_import_all_products,Quarter On Quarter Uvi Change Import All Products,,float64,,-18.5,1,5.6%
quarter_on_quarter_uvi_change_import_gold,Quarter On Quarter Uvi Change Import Gold,,float64,,,18,100.0%
quarter_on_quarter_uvi_change_import_mineral_fuels_and_oils,Quarter On Quarter Uvi Change Import Mineral Fuels And Oils,,float64,,-20.0,1,5.6%
quarter_on_quarter_uvi_change_import_cocoa_beans_and_products,Quarter On Quarter Uvi Change Import Cocoa Beans And Products,,float64,,,18,100.0%
quarter_on_quarter_uvi_change_import_machinery_and_electrical_equipment,Quarter On Quarter Uvi Change Import Machinery And Electrical Equipment,,float64,,-13.8,1,5.6%
quarter_on_quarter_uvi_change_import_chemical_products,Quarter On Quarter Uvi Change Import Chemical Products,,float64,,-18.3,1,5.6%
quarter_on_quarter_uvi_change_import_vehicles_and_automotive_parts,Quarter On Quarter Uvi Change Import Vehicles And Automotive Parts,,float64,,-17.3,1,5.6%
quarter_on_quarter_uvi_change_import_iron_and_steel,Quarter On Quarter Uvi Change Import Iron And Steel,,float64,,-22.5,1,5.6%
quarter_on_quarter_uvi_change_import_plastics,Quarter On Quarter Uvi Change Import Plastics,,float64,,-21.8,1,5.6%
quarter_on_quarter_uvi_change_import_vegetable_products,Quarter On Quarter Uvi Change Import Vegetable Products,,float64,,,18,100.0%
quarter_on_quarter_uvi_change_import_other_products,Quarter On Quarter Uvi Change Import Other Products,,float64,,-16.1,1,5.6%
