dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Awuradjoa Plastic Chair,130.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Hand Mixer With Bowl 7 Speeds,160.0,Brand New,Greater Accra,Odorkor,"Greater Accra, Odorkor",,,False,Platform B,"Bulk prices, Brand New"
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Grab LG 15KG Twin Tub Washing Machin - P1561RWNT,6599.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",TCL Chest Freezer Powerful Freezer,2000.0,Used,Greater Accra,Mamobi,"Greater Accra, Mamobi",,,False,Platform B,Used
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Portable Toilet ( Porta Potty ) Big Size,1500.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",,,False,Platform B,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Nasco 12kg Front Load Full Auto Washing Machine W/ Inverter Motor,4999.0,Brand New,Greater Accra,Kotobabi,"Greater Accra, Kotobabi",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Better Nasco Nasf2-13fl 112l Top Freezer Refrigerator,1899.0,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Energy Saving Shenhua Refrigerator,2200.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Aluminium Source Pan.7set. Extreme Q,600.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Midea 15kg Wash-Dry Combo Washing Machine,8000.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Pearl Fridge,1950.0,Brand New,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",,,False,Platform B,Brand New
