dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Oneplus Watch 3 43mm,4000.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",Verified ID,"Compact, stylish 43 mm OnePlus Watch 3 offers a 1.32′′ AMOLED display, Wear OS by Google, Snapdragon...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,L16 Selfie Stick Tripod Stand,220.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 3+ years on Jiji",1.55m tripod selfie stick,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Data Cables,20.0,Brand New,Greater Accra,Madina,"Greater Accra, Madina",,Original fast charging data cable for data transfer,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Stylist Smart Watch-Bw036-Blue,540.0,Brand New,Greater Accra,East Legon,"Greater Accra, East Legon",3+ years on Jiji,"Smart Bracelet – Your Daily Health & Lifestyle Companion Stay connected, track your fitness, and...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,100w Gan Desktop Faster Charger,370.0,Brand New,Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area",,"100W GaN Desktop Faster Charger with real time voltage display
Overcharge protection
Overload...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,"Itel Smartwatch Fit 020 2.04"" Hd Display Ip68 Ai-Powered",200.0,Brand New,Greater Accra,North Legon,"Greater Accra, North Legon","Verified ID, 5+ years on Jiji","AI-Powered Watch Face – Your Style, Your Way
Want a fresh and unique watch face every day? Simply...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Apple iPad 10.2 (2021) 64 GB,6000.0,Brand New,Greater Accra,Kaneshie,"Greater Accra, Kaneshie",Verified ID,"The iPad 10th Gen (2022) features a 10.9-inch Liquid Retina display, Apple A14 Bionic chip, and 64GB...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Infinix Note 40 Pro 5G 256 GB Black,1650.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,Brand new Infinix Noet 40 pro 5G 256gb new in box with all accessories,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Apple iPad (2025) 256 GB Silver,5900.0,Brand New,Greater Accra,Madina,"Greater Accra, Madina",5+ years on Jiji,"Apple iPad (A16) Wi-Fi – 256GB (2025 Model)
Brand new in box 
	•	256GB storage for all your apps,...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Rock-001 13 in 1 Ultra 3+S10 Smart Watch Combo,300.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,"Rock-001, marketed as a ""13 in 1"" kit. The set includes two smart watches, two pairs of wireless...",False,Platform A,
