source,last_updated,indicator,period,consumer_price_index_and_inflation
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-09,4.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-08,4.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-07,4.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-06,4.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-05,4.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-04,4.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-03,4.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-02,4.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1999-01,4.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-12,3.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-11,3.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-10,3.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-09,3.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-08,3.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-07,3.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-06,4.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-05,4.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-04,4.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-03,3.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-02,3.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,1998-01,3.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2026-01,3.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-12,5.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-11,6.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-10,8.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-09,9.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-08,11.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-07,12.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-06,13.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-05,18.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-04,21.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-03,22.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-02,23.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-01,23.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-12,23.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-11,23.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-10,22.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-09,21.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-08,20.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-07,20.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-06,22.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-05,23.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-04,25.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-03,25.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-02,23.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-01,23.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-12,23.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-11,26.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-10,34.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-09,38.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-08,40.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-07,43.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-06,42.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-05,42.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-04,41.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-03,45.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-02,52.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-01,53.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-12,54.1
