Dataset,Source,Scraped Date,Indicator,Month,Consumer Price Index and Inflation
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M09,72.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M08,72.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M07,72.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M06,72.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M05,71.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M04,70.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M03,69.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M02,68.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2017M01,68.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M12,66.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M11,66.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M10,65.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M09,64.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M08,64.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M07,64.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M06,64.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M05,63.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M04,62.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M03,61.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M02,60.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2016M01,60.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M12,57.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M11,57.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M10,56.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M09,55.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M08,55.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M07,55.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M06,54.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M05,53.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M04,52.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M03,51.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M02,51.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2015M01,50.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M12,49.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M11,48.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M10,48.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M09,46.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M08,47.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M07,47.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M06,46.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M05,45.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M04,45.2
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M03,44.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M02,44.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2014M01,43.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M12,41.9
