Dataset,Source,Scraped Date,Month,Producer Price Index,Year-on-year PPI change (%),Month-on-month PPI change (%)
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M04,33.3,24.3,0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M03,33.1,23.5,1.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M02,32.8,22.3,1.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2011M01,32.5,20.8,3.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M12,31.2,17.8,2.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M11,30.6,16.0,1.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M10,30.2,17.5,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M09,29.8,16.9,0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M08,29.7,18.0,-0.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M07,29.9,18.9,-0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M06,29.9,19.4,10.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M05,27.1,16.2,1.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M04,26.8,16.9,0.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M03,26.8,19.1,0.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M02,26.8,22.1,-0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2010M01,26.9,26.3,1.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M12,26.5,27.7,0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M11,26.3,20.4,2.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M10,25.7,15.3,1.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M09,25.5,14.6,1.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M08,25.2,14.1,0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M07,25.1,16.1,0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M06,25.1,17.8,7.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M05,23.4,10.9,1.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M04,22.9,12.2,1.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M03,22.5,11.6,2.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M02,22.0,12.6,3.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2009M01,21.3,11.6,2.4
