category,title,price_ghs,condition,tags,region,area,location,price_outlier_flag,url,source,scraped_date
Vehicles,Autel Universal Smart Keys And Chips,430.0,Brand New,"Bulk prices, Brand New",Greater Accra,Achimota,"Greater Accra, Achimota",False,https://tonaton.com/a-MfYFNdCgwBKi2OjqJGzQYwE91GYPEvgm-autel-universal-smart-keys-and-chips.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Home Used Mercedes Benz Rims,3500.0,Used,Used,Greater Accra,Dansoman,"Greater Accra, Dansoman",False,https://tonaton.com/a-LuubBC0gtUZ5wERPzWaDy8YR0d3PDyb-home-used-mercedes-benz-rims.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Car Video Player,400.0,Brand New,Brand New,Greater Accra,Adenta,"Greater Accra, Adenta",False,https://tonaton.com/a-MfYFNdCgUyjLqNsxekqQBLalbWfgmdJi-car-video-player.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Hyundai Elantra Crankshaft 2012 -17,1700.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCh27yTdPPpI1C0kvBFfRNsOZqc-hyundai-elantra-crankshaft-2012-17.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Car Tape for All Cars,495.0,Brand New,Brand New,Greater Accra,Adenta,"Greater Accra, Adenta",False,https://tonaton.com/a-MfYFNdCgK11vOtc4BD7Bi6MtO1e5x6YN-car-tape-for-all-cars.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Hyundai Accent 2015 Back Bumper Hatch Bach,1500.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgJRpUuhga7q2drNq8PDYx6Bbu-hyundai-accent-2015-back-bumper-hatch-bach.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Original Universal Homes Used Rims,800.0,Brand New,Brand New,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgGlABGeSUac9Ajxcdx8MndF2A-original-universal-homes-used-rims.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Car Clip Fastener,250.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgHleX5ywNdxNNRICGyrivitW4-car-clip-fastener.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Spare Tyre for All Cars,500.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgZ1tA8GdR7LKkRuVQkZwUDU8R-spare-tyre-for-all-cars.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Toyota Land Cruiser 2008 Upgraded to 2025 Model Body Kits Available,70000.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",True,https://tonaton.com/a-MfYFNdCgP4kRTooX9ULS3tR4k4Xq6FHE-toyota-land-cruiser-2008-upgraded-to-2025-model-body-kits-available.html,Tonaton Ghana (tonaton.com),2026-04-20
