category,title,price_ghs,condition,tags,region,area,location,price_outlier_flag,url,source,scraped_date
"Home, Furniture & Appliances",16 Inches Solar Rechargeable Fan With Light,780.0,Brand New,Brand New,Greater Accra,Awoshie,"Greater Accra, Awoshie",False,https://tonaton.com/a-MfYFNdCgzL9jK0xhcgPZhxnOl34vbqPf-16-inches-solar-rechargeable-fan-with-light.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Bed With Mattress,1200.0,Brand New,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",False,https://tonaton.com/a-MfYFNdCgCC4iNIKh9Gum2prBwgn8c2ni-bed-with-mattress.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Nasco 1.5hp Ac,2550.0,Brand New,"Brand New, No",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgsjfaVgIPF7aEFmS6CRgAdYPy-nasco-1-5hp-ac.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Electric Kettle 0.5l,120.0,Brand New,Brand New,Greater Accra,Bubuashie,"Greater Accra, Bubuashie",False,https://tonaton.com/a-MfYFNdCgqzUNcTN7U6Io4Kx5jgPeD8Pq-electric-kettle-0-5l.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Double Bed Frame,1300.0,Brand New,Brand New,Greater Accra,Kasoa,"Greater Accra, Kasoa",False,https://tonaton.com/a-MfYFNdCgKegjVMU5S9kyeBTmHGCDxy2l-double-bed-frame.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Square Rubber-underpad Carpet,14.0,,,Greater Accra,Adabraka,"Greater Accra, Adabraka",False,https://tonaton.com/a-MfYFNdCgjAn3WxDRDLOM7JzjHruzkXZM-square-rubber-underpad-carpet.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",3 In 1 Breakfast Maker,700.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgV9dGSduKM7lDlqaBjpjkXmgc-3-in-1-breakfast-maker.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Nasco 80ltr Table Top Double Door Fridge,1449.0,Brand New,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",False,https://tonaton.com/a-MfYFNdCgEd96B4wJj0MaLhLtUNCrHIAM-nasco-80ltr-table-top-double-door-fridge.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Bardefu 3 in 1 Multi-Purpose Blender,540.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgzsD44KvOzumbUpEAjkXvwacq-bardefu-3-in-1-multi-purpose-blender.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Square Carpet,14.0,,,Greater Accra,Adabraka,"Greater Accra, Adabraka",False,https://tonaton.com/a-MfYFNdCgYAizz1RNX1xggFjmiBraLSA0-square-carpet.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",2 in 1 Cup Silver Crest Blender,300.0,Brand New,Brand New,Greater Accra,Ashaley Botwe,"Greater Accra, Ashaley Botwe",False,https://tonaton.com/a-MfYFNdCgOl2GrL2Rt3GZ9q5gTWx2Il9B-2-in-1-cup-silver-crest-blender.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Beautiful Thick Industrial Carpet,240.0,,,Greater Accra,Adabraka,"Greater Accra, Adabraka",False,https://tonaton.com/a-MfYFNdCgLXXycgPRyqT0tGq9YvkZDDt3-beautiful-thick-industrial-carpet.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Fresh in Box Gas Stove Decakila,1000.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgkLF2ARYxptRb7I2wQ9tKOoi8-fresh-in-box-gas-stove-decakila.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Kids Character Bedsheets Set,110.0,,,Greater Accra,Ga South Municipal,"Greater Accra, Ga South Municipal",False,https://tonaton.com/a-MfYFNdCgw9rIVo2aCDRJP3hr8nI7vPz3-kids-character-bedsheets-set.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Split Type (White) Midea 1.5hp Air Conditioner,4499.0,Brand New,"Brand New, No",Greater Accra,Alajo,"Greater Accra, Alajo",False,https://tonaton.com/a-MfYFNdCgeVCd8vRr66NIFbHhQwP62lLK-split-type-white-midea-1-5hp-air-conditioner.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Back Guard Nasco-4-Burner-Gas-Cooker-Oven-Nasgc-50x50s-CTZ,1999.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgbUpx0W8CjHHfjNNEiHFOoK3b-back-guard-nasco-4-burner-gas-cooker-oven-nasgc-50x50s-ctz.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Utv Sofa Chairs Deliver Before Payment,3700.0,Brand New,Brand New,Greater Accra,Nungua,"Greater Accra, Nungua",False,https://tonaton.com/a-MfYFNdCgY4tjvjHjgBE1tfgh58TgM1r9-utv-sofa-chairs-deliver-before-payment.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Grundig Hand Held Garment Steamer Iron,450.0,Brand New,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",False,https://tonaton.com/a-MfYFNdCgpzkRLsN6ogxe2oy6s6WI0JPs-grundig-hand-held-garment-steamer-iron.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Gas Burner With Oven,1650.0,Brand New,Brand New,Greater Accra,Adenta,"Greater Accra, Adenta",False,https://tonaton.com/a-MfYFNdCgI5LSDBPzDdnkja36B7vAKBDB-gas-burner-with-oven.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Standard Holland Carpet,15.0,,,Greater Accra,Adabraka,"Greater Accra, Adabraka",False,https://tonaton.com/a-MfYFNdCgLr57Vq1aRjDXppUpccTBcXUd-standard-holland-carpet.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances","Nasco 112L Double Door Top Freezer Refrigerator
 Nasf2-13fl",2599.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgCGhlkl2l2Ufjp4lfbPEkzprO-nasco-112l-double-door-top-freezer-refrigerator-nasf2-13fl.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Luxury Tea Mug Set,100.0,,,Greater Accra,Achimota,"Greater Accra, Achimota",False,https://tonaton.com/a-MfYFNdCgkGemo7rJPwnMCEe7aw9EBdW3-luxury-tea-mug-set.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Quality Air Fryer 6l,300.0,Brand New,"Bulk prices, Brand New",Greater Accra,Odorkor,"Greater Accra, Odorkor",False,https://tonaton.com/a-MfYFNdCgqaDDJaS7Q8aO6BRh3ksGAfc8-quality-air-fryer-6l.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Sublimaction Magic Star Mug,19.0,,,Greater Accra,Madina,"Greater Accra, Madina",False,https://tonaton.com/a-MfYFNdCgZokrQ6kuKmsItOhzmPGuuqzP-sublimaction-magic-star-mug.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",White 11oz Sublimation Mug,13.0,,,Greater Accra,Madina,"Greater Accra, Madina",False,https://tonaton.com/a-MfYFNdCgz7RSd1Na9e9PHIU5WBBIBHcU-white-11oz-sublimation-mug.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Initial Peach Nectar Airfreshner Fragrance (Original),199.0,,,Greater Accra,Nungua,"Greater Accra, Nungua",False,https://tonaton.com/a-MfYFNdCh2gnRr0TRsCfPBGqEVPtTbYKz-initial-peach-nectar-airfreshner-fragrance-original.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Industrial Woolen Carpet,240.0,,,Greater Accra,Adabraka,"Greater Accra, Adabraka",False,https://tonaton.com/a-MfYFNdCgdD5xiG7inUDYZjdql1LRfZkS-industrial-woolen-carpet.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Woolen Carpet,80.0,,,Greater Accra,Adabraka,"Greater Accra, Adabraka",False,https://tonaton.com/a-MfYFNdCgckuBgYdojBd4nMbW8sdsVfc7-woolen-carpet.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances","Expert
Decakila 7kg Single Tub Washer – Energy-Saving Water-Efficien",1500.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCglg8OwVww4QtnYzBc6TmUgBB6-expert-decakila-7kg-single-tub-washer-energy-saving-water-efficien.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Portable Handheld Fan,400.0,Brand New,Brand New,Greater Accra,East Legon,"Greater Accra, East Legon",False,https://tonaton.com/a-MfYFNdCgHqdLHdudt9klGNrXUQnxGXj7-portable-handheld-fan.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Luxurious Dining Set,2900.0,Brand New,Brand New,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",False,https://tonaton.com/a-MfYFNdCgOQL0wPCViYHFbF5CBQPfY67o-luxurious-dining-set.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Acl Ms-001 Music Stand/Bible Stand - Black,400.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgIhwcagHGfdGRKTX8UUPDHBM0-acl-ms-001-music-stand-bible-stand-black.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Water Drain Samsung-9kg-Twin-Top-Semi-Auto-Washer-Washing,3999.0,Brand New,Brand New,Greater Accra,Circle,"Greater Accra, Circle",False,https://tonaton.com/a-MfYFNdCgHQMCJeoGBAkJT8Y3s4lE5sgz-water-drain-samsung-9kg-twin-top-semi-auto-washer-washing.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Quality Nasco 112 Litres Top Mount Refrigerator-nasf2-15kd,2299.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgDeJxZvOyBqMfgZAmCHptOlTO-quality-nasco-112-litres-top-mount-refrigerator-nasf2-15kd.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Innova 3in1 Blender Is Food Processor,375.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCglTQCQJTx22XReI92DkA55dNy-innova-3in1-blender-is-food-processor.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",225l Binatone Display Refrigerator,5900.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgj4t5EDvkWFv6gX5PqheXsGN3-225l-binatone-display-refrigerator.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",11oz Sublimation Magic Star Mug,19.0,,,Greater Accra,Madina,"Greater Accra, Madina",False,https://tonaton.com/a-MfYFNdCgt1od8hzdUgkHOCUczeyimkwH-11oz-sublimation-magic-star-mug.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Hisense Microwave Oven 25 Litres,1999.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgP14UCTqRWxL6PIL4pO83RTmn-hisense-microwave-oven-25-litres.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Woolen Carpet,240.0,,,Greater Accra,Adabraka,"Greater Accra, Adabraka",False,https://tonaton.com/a-MfYFNdCgV7vIml2X8f0jZ2Yif8DQMQTJ-woolen-carpet.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances","5-layer Shoe Rack – Waterproof, Rust-proof Heavy-duty",150.0,,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgK2zaqxiESzYaSfVLxS78qAXz-5-layer-shoe-rack-waterproof-rust-proof-heavy-duty.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Grab Your Decakila 1600w/2.5l Vacuum Cleaner Decakila,1800.0,Brand New,Brand New,Greater Accra,Avenor Area,"Greater Accra, Avenor Area",False,https://tonaton.com/a-LuubBC0gt4IBCCMQ0vbeorLgsd0Ntoi-grab-your-decakila-1600w-2-5l-vacuum-cleaner-decakila.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Double Bed Inbuilt,1250.0,Brand New,Brand New,Greater Accra,Dansoman,"Greater Accra, Dansoman",False,https://tonaton.com/a-MfYFNdCgS8c6URHRvWpFgAWHB1hmhGTD-double-bed-inbuilt.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Durable Lg 11kg Top Load Washing Machine - T1185neht2,7299.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgtb0HKBFdoer4hbEVGTp35GmK-durable-lg-11kg-top-load-washing-machine-t1185neht2.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Space America Standard Slow Juicer at Wholesale Prices,599.0,Brand New,Brand New,Greater Accra,Madina,"Greater Accra, Madina",False,https://tonaton.com/a-MfYFNdCgG215TZMxHsElsSnkcMGEYnPa-space-america-standard-slow-juicer-at-wholesale-prices.html,Tonaton Ghana (tonaton.com),2026-04-20
